Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2001-08-15,262.2575137638289,277.9179637182853,260.7135183452486,277.87384033203125,284760,0.0,0.0,0.0
2001-08-16,277.7858052931424,279.15334849719864,267.77193024823396,272.5803527832031,124755,0.0,0.0,0.0
2001-08-17,272.18349077755255,273.2422110272352,265.83106831048485,269.977783203125,35610,0.0,0.0,0.0
2001-08-20,266.4925729128554,269.0952884755182,262.83111772373803,263.75750732421875,30135,0.0,0.0,0.0
2001-08-21,262.478289096322,268.6542557294096,262.478289096322,266.0074157714844,81510,0.0,0.0,0.0
2001-08-22,273.1096694017982,276.8593511974794,262.91934344380917,264.0221862792969,204690,0.0,0.0,0.0
2001-08-23,264.28712991566306,264.68416019471493,258.11117964031894,259.5228271484375,97035,0.0,0.0,0.0
2001-08-24,259.12570297474645,260.7138033217041,257.09644905811774,258.86102294921875,19815,0.0,0.0,0.0
2001-08-27,260.0518754282791,262.9192904551842,259.3901658215914,259.831298828125,60135,0.0,0.0,0.0
2001-08-28,257.84595018602755,257.84595018602755,253.74336623841424,254.3168487548828,43635,0.0,0.0,0.0
2001-08-29,255.61893041222268,257.25129695146444,249.92772126946247,252.35421752929688,66705,0.033333,0.0,0.0
2001-08-30,252.80847847321917,253.60264931146224,240.23423477952502,241.24899291992188,78525,0.02,0.0,0.0
2001-08-31,240.2821148323754,246.06407165527344,240.2821148323754,246.06407165527344,62835,0.14,0.0,0.0
2001-09-04,247.29165604371826,251.7517402711014,246.85005033649009,248.3956298828125,24270,0.186667,0.0,0.0
2001-09-05,247.2916958512756,249.49964388488652,244.37717048656367,245.9669189453125,217305,0.0,0.0,0.0
2001-09-06,247.07087506338357,252.76741938924428,245.2603440611301,250.9127197265625,156960,0.0,0.0,0.0
2001-09-07,251.70811862231577,251.70811862231577,246.05573117361968,247.73377990722656,12705,0.0,0.0,0.0
2001-09-10,249.7208166568388,251.26639874125294,245.5698455650627,249.94161987304688,13830,0.0,0.0,0.0
2001-09-17,259.43556319336244,259.43556319336244,237.35595369679874,237.5767364501953,43800,0.0,0.0,0.0
2001-09-18,231.92451958374178,234.9273450049594,221.72373072200838,223.2251434326172,65790,0.0,0.0,0.0
2001-09-19,215.9387919751363,218.58834770489256,197.4360705624411,207.63685607910156,124230,0.0,0.0,0.0
2001-09-20,201.41050392675643,208.91756873672327,199.02589854584863,202.3378448486328,106725,0.0,0.0,0.0
